,Price,Adress,Total Finished Area:,Bedrooms:,Bathrooms:,Architectural Style:,Association Fee Includes:,Built in:,Condo Fees:,Construction Materials:,Cooling:,Exterior Features:,Fireplace Features:,Floor Space (approx):,Flooring:,Foundation Details:,Heating:,Interior Features:,Levels:,Parking Features:,Roof:,Zoning:,Lot Size:,Utilities:,Water Source:,Sewer:,Air Conditioning:,Pool:,Irregular:,Waterfront Features:,Garage:,Style:,Building Type:,Amenities:,Exterior Finish:,Fireplace:,Heating Type:,Cooling Type:,OwnershipType:,Property Type:,Features:,No. of Parking Spaces:
0,"$535,000","1-1619 27 Avenue SW, Calgary, AB, T2T 1G7",1235.00,2+1,3+1,2 Storey,"Common Area Maintenance, Insurance, Parking, Reserve Fund Contributions",2008,$248 Monthly,"Brick, Stucco",None,"Private Entrance, Private Yard","Gas, Living Room, Recreation Room",1235.00 Square Feet,"Carpet, Laminate",Poured Concrete,Forced Air,"Central Vacuum, Granite Counters, Kitchen Island, No Animal Home, No Smoking Home, Pantry, Storage",Two,"Assigned, On Street, Single Garage Detached",Asphalt Shingle,M-C1,,,,,,,,,,,,,,,,,,,,
1,"$425,000","1-1909 25A Street SW, Calgary, AB, T3E 1Y6",1134.38,2+0,1+2,2 Storey,"Common Area Maintenance, Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Snow Removal",2000,$419 Monthly,"Brick, Stucco, Wood Frame",None,Other,"Gas, Living Room",1134.38 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Forced Air, Natural Gas","Ceiling Fan(s), Closet Organizers, Granite Counters, Jetted Tub, No Smoking Home, Open Floorplan, Pantry, Storage, Walk-In Closet(s)",Two,"Assigned, Single Garage Detached",Asphalt Shingle,DC (pre 1P2007),,,,,,,,,,,,,,,,,,,,
2,"$235,000","1-2121 26 Avenue SW, Calgary, AB, T2T 1E7",755.92,2+0,1+0,Low-Rise(1-4),"Common Area Maintenance, Reserve Fund Contributions, Sewer, Snow Removal, Water",1952,$254 Monthly,"Brick, Wood Frame",None,None,Electric,755.92 Square Feet,"Ceramic Tile, Hardwood",,"Forced Air, Natural Gas","Closet Organizers, Laminate Counters, Storage, Sump Pump(s), Walk-In Closet(s)",Single Level Unit,Single Garage Detached,Membrane,M-C1,,,,,,,,,,,,,,,,,,,,
3,"$549,999","1-4811 Bowness Road NW, Calgary, AB, T3B 0B6",1267.00,2+1,3+1,2 Storey,Insurance,2019,$250 Monthly,"Stone, Stucco",None,None,"Blower Fan, Gas, Living Room, Master Bedroom",1267.00 Square Feet,"Carpet, Ceramic Tile, Laminate",Poured Concrete,"High Efficiency, Fireplace(s), Natural Gas","Ceiling Fan(s), Central Vacuum, Closet Organizers, Double Vanity, Kitchen Island, No Smoking Home, Open Floorplan, Recessed Lighting, Vaulted Ceiling(s), Walk-In Closet(s)",Two,"Single Garage Detached, Titled",Asphalt Shingle,RM-4,6000.00 Square Feet,None,Public,Public Sewer,,,,,,,,,,,,,,,,
4,"$519,900","1-4821 Bowness Road NW, Calgary, AB, T3B 0B6",1239.00,2+1,3+1,2 Storey,"Common Area Maintenance, Reserve Fund Contributions",2022,$200 Monthly,"Stucco, Wood Frame",None,Other,Gas,1239.00 Square Feet,"Carpet, Laminate, Tile",Poured Concrete,"Forced Air, Natural Gas","Bar, Double Vanity, Granite Counters, Kitchen Island, Low Flow Plumbing Fixtures, No Animal Home, No Smoking Home, Open Floorplan, Pantry, Recessed Lighting, Vaulted Ceiling(s), Walk-In Closet(s), Wet Bar",Two,Stall,Asphalt Shingle,M-C1,5995.00 Square Feet,,,,,,,,,,,,,,,,,,,
5,"$469,000","1-515 5 Street NE, Calgary, AB, T2E 3W5",1045.00,2+0,2+0,2 Storey,"Gas, Insurance, Maintenance Grounds, Reserve Fund Contributions, Sewer, Snow Removal, Water",2006,$337 Monthly,"Stucco, Wood Frame",None,"Garden, Private Entrance",,1045.00 Square Feet,"Carpet, Hardwood",Poured Concrete,"In Floor, Natural Gas","Breakfast Bar, Built-in Features, Closet Organizers, Granite Counters, High Ceilings, No Smoking Home, Open Floorplan",Two,"Parkade, Underground",Asphalt Shingle,M-CG d111,,,,,,,,,,,,,,,,,,,,
6,"$799,900","1 Saddlecrest Crescent NE, Calgary, AB, T3J 0C6",2554.77,3+2,4+0,2 Storey,,2006,,Vinyl Siding,None,"Private Entrance, Private Yard","Gas, Living Room",2554.77 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,Forced Air,"No Animal Home, No Smoking Home, Separate Entrance",Two,Double Garage Attached,Asphalt Shingle,R-1N,5500.00 Square Feet,,,,,,,,,,,,,,,,,,,
7,"$299,900","10-3402 Parkdale Boulevard NW, Calgary, AB, T2N 3T4",814.00,2+0,1+0,Low-Rise(1-4),"Common Area Maintenance, Heat, Insurance, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water",1980,$530 Monthly,"Stucco, Wood Frame, Wood Siding",None,Other,Wood Burning,814.00 Square Feet,"Ceramic Tile, Hardwood, Parquet",Poured Concrete,"Baseboard, Natural Gas",Open Floorplan,Single Level Unit,"Assigned, Heated Garage, Parkade, Underground",Rubber,M-C2,814.00 Square Feet,,,,,,,,,,,,,,,,,,,
8,"$519,900","10 Cranberry Close SE, Calgary, AB, T2M 1L5",1505.92,3+0,2+1,2 Storey,,2006,,"Stone, Vinyl Siding, Wood Frame",None,Other,Gas,1505.92 Square Feet,"Carpet, Hardwood, Laminate, Linoleum",Poured Concrete,Forced Air,"Kitchen Island, Pantry",Two,Off Street,Asphalt Shingle,R-1N,3056.00 Square Feet,,,,,,,,,,,,,,,,,,,
9,"$415,000","10 Deer Lane Bay SE, Calgary, AB, T2J 5S8",1063.00,3+1,2+0,"Bi-Level, Side by Side",,1978,,Vinyl Siding,None,Private Yard,,1063.00 Square Feet,"Laminate, Tile",Poured Concrete,Forced Air,"Built-in Features, Open Floorplan",One,"220 Volt Wiring, Alley Access, On Street, Oversized, Single Garage Detached",Asphalt Shingle,R-C2,3993.00 Square Feet,,,,,,,,,,,,,,,,,,,
10,"$685,000","10 Tuscany Meadows Bay NW, Calgary, AB, T3L 2M9",1808.26,3+0,2+1,2 Storey,,2001,,"Vinyl Siding, Wood Frame",None,"Garden, Private Yard",Gas,1808.26 Square Feet,"Carpet, Hardwood",Poured Concrete,"Fireplace(s), Forced Air, Natural Gas","Kitchen Island, Laminate Counters",Two,"Concrete Driveway, Double Garage Attached, Garage Door Opener, Garage Faces Front",Asphalt Shingle,R-C1N,4154.00 Square Feet,,,,,,,,,,,,,,,,,,,
11,"$349,900","1002-1500 7 Street SW, Calgary, AB, T2R 1A7",568.00,1+0,1+0,Apartment,"Common Area Maintenance, Heat, Insurance, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water",2013,$429 Monthly,"Brick, Concrete, Stone",None,None,,568.00 Square Feet,"Ceramic Tile, Laminate",Poured Concrete,"Baseboard, Natural Gas","Breakfast Bar, Ceiling Fan(s), Granite Counters, High Ceilings, Open Floorplan",Single Level Unit,"Heated Garage, Secured, Titled, Underground",Concrete,DC,,,,,,,,,,,,,,,,,,,,
12,"$379,000","1005-1410 1 Street SE, Calgary, AB, T2G 5T7",836.61,2+0,2+0,High-Rise (5+),"Amenities of HOA/Condo, Common Area Maintenance, Heat, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash, Water",2006,$619 Monthly,"Brick, Concrete, Metal Frame, Stone, Stucco",Central Air,None,,836.61 Square Feet,"Hardwood, Tile",Poured Concrete,"Forced Air, Natural Gas","Breakfast Bar, Open Floorplan, Walk-In Closet(s)",Single Level Unit,"Covered, Parkade, Titled, Underground",Tar/Gravel,DC (pre 1P2007),,,,,Yes,,,,,,,,,,,,,,,
13,"$898,000","1007 Edgemont Road NW, Calgary, AB, T3A 2J5",2087.00,3+1,3+0,1 and Half Storey,,1979,,"Brick, Cedar, Wood Frame",None,"Fire Pit, Garden, Private Entrance, Private Yard","Basement, Brick Facing, Family Room, Gas Log",2087.00 Square Feet,"Carpet, Ceramic Tile, Linoleum",Poured Concrete,"Forced Air, Natural Gas","Bar, Bidet, Built-in Features, Ceiling Fan(s), Central Vacuum, Double Vanity, Granite Counters, High Ceilings, Natural Woodwork, No Smoking Home, Open Floorplan, Vaulted Ceiling(s), Walk-In Closet(s), Wet Bar",One and One Half,Double Garage Attached,Cedar Shake,R-C1,7750.00 Square Feet,,,,,,,,,,,,,,,,,,,
14,"$799,900","1008-1108 6 Avenue SW, Calgary, AB, T2P 5K1",2198.00,3+0,3+0,Apartment,"Amenities of HOA/Condo, Common Area Maintenance, Heat, Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Sewer, Trash, Water",2001,"$1,545 Monthly",Concrete,None,Courtyard,Gas,2198.00 Square Feet,"Carpet, Ceramic Tile",,"Baseboard, Natural Gas","Bookcases, Ceiling Fan(s), Closet Organizers, Granite Counters",Single Level Unit,"Parkade, Secured, Side By Side, Stall, Underground",,DC (pre 1P2007),,,,,,,,,,,,,,,,,,,,
15,"$2,795","1009-615 6 Avenue SE, Calgary, AB, T2P 3G2",910.00,2+0,2+0,,,2019,,,,,,910.00 Square Feet,Laminate,,,,,Underground,Asphalt Shingle,,,,,,,,,,,,,,,,,,,,,
16,"$349,900","1009 Auburn Bay Circle SE, Calgary, AB, T3M 2A3",1110.00,2+0,2+1,2 Storey,"Common Area Maintenance, Insurance, Maintenance Grounds, Parking, Professional Management, Reserve Fund Contributions, Snow Removal",2013,$175 Monthly,Wood Frame,None,"Garden, Private Yard",,1110.00 Square Feet,"Carpet, Laminate",Poured Concrete,"Forced Air, Natural Gas","No Smoking Home, Open Floorplan, Pantry, Separate Entrance, Stone Counters, Storage, Suspended Ceiling, Walk-In Closet(s)",Two,Stall,Asphalt Shingle,M-1,,,,,,,,,,,,,,,,,,,,
17,"$950,000","101-1214 Memorial Drive NW, Calgary, AB, T2N 3E5",1681.10,2+0,2+1,Low-Rise(1-4),"Common Area Maintenance, Heat, Insurance, Maintenance Grounds, Parking, Reserve Fund Contributions, Residential Manager, Snow Removal, Trash",2006,"$1,137 Monthly","Concrete, Stone, Stucco",Central Air,Other,"Gas, Great Room, See Remarks",1681.10 Square Feet,"Hardwood, Tile",Poured Concrete,"Forced Air, Geothermal","Built-in Features, Closet Organizers, Double Vanity, Elevator, French Door, Kitchen Island, Steam Room, Storage, Walk-In Closet(s)",Single Level Unit,"Alley Access, Single Garage Detached",Asphalt Shingle,M-CG d72,,,,,Yes,,,,,,,,,,,,,,,
18,"$495,000","101-1625 15 Avenue SW, Calgary, AB, T3C 0Y3",1203.31,2+0,1+1,2 Storey,"Insurance, Professional Management, Snow Removal",1990,$464 Monthly,"Stucco, Wood Frame",Central Air,None,Gas,1203.31 Square Feet,"Carpet, Hardwood, Tile",Poured Concrete,"Forced Air, Natural Gas","Bookcases, Breakfast Bar, Built-in Features, Double Vanity, Metal Counters, Natural Woodwork, Open Floorplan, Recessed Lighting, Recreation Facilities, Storage",Two,"Garage Faces Front, Single Garage Attached",Asphalt Shingle,M-CG d72,,,,,Yes,,,,,,,,,,,,,,,
19,"$294,900","101-2035 34 Avenue SW, Calgary, AB, T2T 2C4",774.02,2+0,1+0,Low-Rise(1-4),"Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal",1957,$517 Monthly,"Brick, Concrete",None,None,,774.02 Square Feet,"Ceramic Tile, Hardwood",Poured Concrete,"Baseboard, Electric","Breakfast Bar, Kitchen Island, Open Floorplan",Single Level Unit,"Assigned, Stall",Clay Tile,M-C1,,,,,,,,,,,,,,,,,,,,
20,"$625,000","101 Covebrook Court NE, Calgary, AB, T3L 1J9",1722.75,3+0,3+1,2 Storey,,2009,,"Stone, Vinyl Siding, Wood Frame",None,Private Yard,"Gas, Mantle",1722.75 Square Feet,"Carpet, Ceramic Tile, Hardwood",Poured Concrete,"Forced Air, Natural Gas","Breakfast Bar, Granite Counters, High Ceilings, Kitchen Island, No Animal Home, No Smoking Home, Open Floorplan, Vaulted Ceiling(s), Walk-In Closet(s), Wet Bar",Two,"Double Garage Attached, Driveway",Asphalt Shingle,R-1N,3961.00 Square Feet,,,,,,,,,,,,,,,,,,,
21,"$375,000","101 Elgin Gardens SE, Calgary, AB, T2Z 4T6",1148.00,3+0,1+1,4 Level Split,"Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal",2005,$305 Monthly,Concrete,Wall/Window Unit(s),"Courtyard, Garden",,1148.00 Square Feet,"Carpet, Vinyl",Poured Concrete,"Forced Air, Natural Gas","High Ceilings, Walk-In Closet(s)",4 Level Split,"Double Garage Attached, Insulated",Asphalt Shingle,M-2 D75,,None,,,Yes,,,,,,,,,,,,,,,
